driver,team,race_delta_s,race_se_s,race_n,race_model,quali_delta_s,quali_se_s,quali_k,event_delta_s,event_se_s,event_wR_eff,event_wQ_eff,race_delta_s_shrunk,race_shrink_w,race_tau2,quali_delta_s_shrunk,quali_shrink_w,quali_tau2,event_delta_s_shrunk,event_shrink_w,event_tau2
HUL,Kick Sauber,-0.044571181475105935,0.05919188767402662,59.0,"ols_team(fe+spline,clustered)",0.7599999999999909,0.04888876262610286,1.0,0.43372195150117865,0.03769414369789367,0.4055303694828042,0.5944696305171958,-4.925574234161942e-05,0.0002853327903592158,1e-06,0.15918126840135463,0.00041821561338284353,1e-06,0.41480170384998327,0.9087824844247564,0.014155638789466414
GAS,Alpine,-0.03145548502604167,0.06278825732721413,60.0,"ols_team(fe+spline,clustered)",0.0,0.20957109639557644,1.0,-0.028864537095993896,0.060146801175962765,0.9176312834501597,0.08236871654984032,-4.428075437573353e-05,0.0002535905082400075,1e-06,0.15889767655524162,2.2768128869633466e-05,1e-06,-0.01868407990852569,0.796456343008331,0.014155638789466414
STR,Aston Martin,-0.014107259114583333,0.07418351267707118,60.0,"ols_team(fe+spline,clustered)",0.2009999999999934,0.21228623234785177,1.0,0.009302050063242528,0.07003072054016012,0.8911737833758696,0.10882621662413033,-3.8981813672421966e-05,0.00018167965758310317,1e-06,0.15889873335538035,2.2189458527901192e-05,1e-06,0.012490030559440177,0.742690603290795,0.014155638789466414
HAM,Ferrari,-0.012735335553278689,0.03697357428911458,61.0,"ols_team(fe+spline,clustered)",0.12699999999999534,0.15082174909475038,1.0,-0.004813689340053415,0.03591026195970027,0.943309641889362,0.05669035811063803,-4.5557054775400135e-05,0.0007309700024048226,1e-06,0.1588903118863881,4.395952207207635e-05,1e-06,-0.0036764563172735926,0.9165081638530455,0.014155638789466414
HAD,Racing Bulls,-0.009007045200892858,0.07102516160327542,63.0,"ols_team(fe+spline,clustered)",0.04600000000000648,0.10392505312323219,1.0,0.008505561789926926,0.058638992189635225,0.6816297453015443,0.31837025469845565,-3.7940069809207866e-05,0.0001981935223006134,1e-06,0.15886100463757855,9.258044855227353e-05,1e-06,0.010066523965422677,0.8045641614803513,0.014155638789466414
BEA,Haas F1 Team,-0.0018310546875,0.05924594126158225,59.0,"ols_team(fe+spline,clustered)",0.0,0.286475758136706,1.0,-0.0017559522298049256,0.05801820582239918,0.9589840444374633,0.04101595556253658,-3.6830480036624876e-05,0.0002848125240211028,1e-06,0.15889469724232777,1.2184815380551208e-05,1e-06,0.0013792095845975277,0.8078895078717945,0.014155638789466414
NOR,McLaren,-0.0015810074344758064,0.0455271261046227,62.0,"ols_team(fe+spline,clustered)",0.0,0.16625299997293175,1.0,-0.0014707187112496774,0.04391047035871309,0.9302414898114024,0.06975851018859747,-3.704553976822397e-05,0.00048222536326449886,1e-06,0.15889424893350465,3.617806263580386e-05,1e-06,-0.00015459561735989974,0.8801195476360925,0.014155638789466414
RUS,Mercedes,5.002881659836065e-06,0.048919699659976605,61.0,"ols_team(fe+spline,clustered)",0.0,0.11706212026099708,1.0,4.259089554800687e-06,0.04513693373315363,0.8513272638434244,0.14867273615657567,-3.628293605696817e-05,0.00041768703871537463,1e-06,0.15887965418226566,7.296851992113487e-05,1e-06,0.01254195271047974,0.8741835913768183,0.014155638789466414
TSU,Red Bull Racing,2.209893588362069e-05,0.09847927540217008,58.0,"ols_team(fe+spline,clustered)",0.5330000000000013,0.008499999999997955,1.0,0.529058750546975,0.008468513907715216,0.007394770862276507,0.9926052291377235,-3.630540175176539e-05,0.00010310163022305486,1e-06,0.1641015942954982,0.01365187713311228,1e-06,0.5276373866979058,0.994959306895874,0.014155638789466414
ALB,Williams,4.7471788194444445e-05,0.12957897027981122,9.0,"ols_team(fe+spline,clustered)",0.0,0.1987824438928142,1.0,3.331527266685531e-05,0.10855214631413031,0.7017909780519738,0.2982090219480263,-3.6307467242764305e-05,5.955319782603155e-05,1e-06,0.15890045954138493,2.5306550904380323e-05,1e-06,0.0761861929711243,0.5457236471490634,0.014155638789466414
