driver,team,race_delta_s,race_se_s,race_n,race_model,quali_delta_s,quali_se_s,quali_k,event_delta_s,event_se_s,event_wR_eff,event_wQ_eff,race_delta_s_shrunk,race_shrink_w,race_tau2,quali_delta_s_shrunk,quali_shrink_w,quali_tau2,event_delta_s_shrunk,event_shrink_w,event_tau2
LAW,Racing Bulls,-0.25500167043585525,0.07517301994808949,38,"ols_team(fe+spline,clustered,track)",0.015999999999991132,0.12444456597216347,1.0,-0.18255078113761794,0.06434455678178665,0.7326551929303018,0.2673448070696982,-0.09752973829543274,0.3892616852320361,0.0036017244777766643,0.17647836525584704,6.456840861471647e-05,1e-06,-0.09767425618805663,0.6463529776618113,0.007566993755730325
NOR,McLaren,-0.1729736328125,0.10200279841257187,37,"ols_team(fe+spline,clustered,track)",0.0,6.099766345474864,1.0,-0.17292527615741965,0.10198853942164213,0.9997204391542568,0.00027956084574331147,-0.0423763942058621,0.25715040164060066,0.0036017244777766643,0.17649998697847358,2.6876554301645628e-08,1e-06,-0.0395645383698357,0.42112185717128775,0.007566993755730325
BEA,Haas F1 Team,-0.11044224330357143,0.1075798791759523,35,"ols_team(fe+spline,clustered,track)",0.09199999999999875,0.09633333333333383,1.0,0.0019104336727494044,0.07176583293432064,0.445013673317957,0.5549863266820431,-0.024053727556149124,0.23734350693300407,0.0036017244777766643,0.1764810755011026,0.00010774572010056157,1e-06,0.024405885156273066,0.5950144117453603,0.007566993755730325
HAM,Ferrari,-0.09142736486486487,0.08745892089623684,37,"ols_team(fe+spline,clustered,track)",0.7639999999999958,0.1374999999999957,1.0,0.15497220538199327,0.07379570764102485,0.7119573439344157,0.2880426560655843,-0.027343703870361898,0.3201308828137111,0.0036017244777766643,0.17654958930237058,5.2889764508326824e-05,1e-06,0.1141727909914514,0.5815038751578404,0.007566993755730325
RUS,Mercedes,-0.07870895798141891,0.08655426050328881,37,"ols_team(fe+spline,clustered,track)",0.0,0.20375220516870574,1.0,-0.0666767181330251,0.07966425086271668,0.8471299816822082,0.15287001831779182,-0.023642116954830983,0.32467377064303093,0.0036017244777766643,0.1765039690079361,2.4087121512703784e-05,1e-06,-0.010051207678549633,0.543864262650058,0.007566993755730325
ALO,Aston Martin,-0.034857855902777776,0.16167037231229564,36,"ols_team(fe+spline,clustered,track)",0.0,0.05749999999999744,1.0,-0.003914227385639404,0.05417552503143111,0.11229111155191518,0.8877088884480848,-0.001732836483850253,0.12111101210204162,0.0036017244777766643,0.17640560311429174,0.0003023660140600465,1e-06,0.013235361796128928,0.7205301135578,0.007566993755730325
HUL,Kick Sauber,-0.009945140165441176,0.1355687524266867,34,"ols_team(fe+spline,clustered,track)",0.37099999999999517,0.10258045622826986,1.0,0.2323023018604078,0.08180182774112052,0.3640883778681464,0.6359116221318536,0.0007381100825798567,0.16385916021053612,0.0036017244777766643,0.17651896832771907,9.502316189571218e-05,1e-06,0.15025834497763857,0.5306993274694686,0.007566993755730325
ALB,Williams,-0.009475295608108109,0.049873932475774506,37,"ols_team(fe+spline,clustered,track)",0.0,0.14978883284292252,1.0,-0.008529667340071982,0.04731984092106731,0.9002006578848113,0.09979934211518861,-0.0044481160628697825,0.5915003190122116,0.0036017244777766643,0.17650040709351233,4.456785889815765e-05,1e-06,0.006544714200304877,0.7716570917160299,0.007566993755730325
TSU,Red Bull Racing,-0.006569310238486842,0.10735277877289778,38,"ols_team(fe+spline,clustered,track)",0.34199999999999875,0.21802875957084122,1.0,0.061447108581297843,0.09631104417643871,0.8048697437727695,0.19513025622723046,0.0005930928413780327,0.23810939218811586,0.0036017244777766643,0.17650324513005794,2.1036006490870297e-05,1e-06,0.0592482284581054,0.4492714287408066,0.007566993755730325
COL,Alpine,-0.002234564887152778,0.10103370303411957,36,"ols_team(fe+spline,clustered,track)",0.38900000000001,0.26149999999999807,1.0,0.048581630112981125,0.09424409669660401,0.8701132273044689,0.12988677269553103,0.0015103659158533006,0.26081434573927736,0.0036017244777766643,0.17650400040771294,1.4623464079288636e-05,1e-06,0.0533717618818298,0.4600291652470437,0.007566993755730325
